nama_sekolah;npsn;nss;npwp;alamat;desa;kecamatan;kabupaten;provinsi;tahun_berdiri;nomor_sk_pendirian;tgl_sk_pendirian;status_sekolah;nama_penyelenggara_yayasan;alamat_penyelenggara_yayasan;sk_pendirian_yayasan;gedung_sekolah;akreditasi_sekolah;status_tanah_sekolah;luas_tanah_sekolah;email_sekolah;created_at;updated_at
TK YPK LAHAIROY STEIRIRA;60403701;;;;;;;;;;;;;;;;;;;;;
TK YPK VIADOLOROSA BINTUNI;70002969;;;;;;;;;;;;;;;;;;;;;
SD HARMONI SCHOOL TERPADU BINTUNI;70005083;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI SATU ATAP JAGIRO;60404137;;;;;;;;;;;;;;;;;;;;;
SMP TAMAN BANGSA TOFOI;70009382;;;;;;;;;;;;;;;;;;;;;
PAUD ATIBO PASAMAI MANIMERI;70003582;;;;;;;;;;;;;;;;;;;;;
PKBM SIGEMERAI INDAH;P9962882;;;;;;;;;;;;;;;;;;;;;
TK AISYIYAH BUSTANUL ATFAL KELAPA DUA SP.1;70002763;;;;;;;;;;;;;;;;;;;;;
TK HERLINA 3;70014462;;;;;;;;;;;;;;;;;;;;;
TK AL-MAGHFIROH;69964306;;;;;;;;;;;;;;;;;;;;;
PKBM KELAPA DUA;P9934329;;;;;;;;;;;;;;;;;;;;;
SD NEGERI ANAKASI;60404136;;;;;;;;;;;;;;;;;;;;;
SD NEGERI BINTUNI;60401938;;;;;;;;;;;;;;;;;;;;;
KELOMPOK BERMAIN EVI III MUTURI;69993136;;;;;;;;;;;;;;;;;;;;;
SD NEGERI TERPADU;60403650;;;;;;;;;;;;;;;;;;;;;
TK PGRI SP IV;60403686;;;;;;;;;;;;;;;;;;;;;
SD YPK SERITO;60401919;;;;;;;;;;;;;;;;;;;;;
SD YPK SION YAKATI;60401922;;;;;;;;;;;;;;;;;;;;;
SD INPRES TUASAI;60401912;;;;;;;;;;;;;;;;;;;;;
